DateRep,CountryExp,NewConfCases,NewDeaths
3/11/20,Afghanistan,3,0
3/8/20,Afghanistan,3,0
3/2/20,Afghanistan,0,0
3/1/20,Afghanistan,0,0
2/29/20,Afghanistan,0,0
2/28/20,Afghanistan,0,0
2/27/20,Afghanistan,0,0
2/26/20,Afghanistan,0,0
2/25/20,Afghanistan,1,0
2/24/20,Afghanistan,0,0
2/23/20,Afghanistan,0,0
2/22/20,Afghanistan,0,0
2/21/20,Afghanistan,0,0
2/20/20,Afghanistan,0,0
2/19/20,Afghanistan,0,0
2/18/20,Afghanistan,0,0
2/17/20,Afghanistan,0,0
2/16/20,Afghanistan,0,0
2/15/20,Afghanistan,0,0
2/14/20,Afghanistan,0,0
2/13/20,Afghanistan,0,0
2/12/20,Afghanistan,0,0
2/11/20,Afghanistan,0,0
2/10/20,Afghanistan,0,0
2/9/20,Afghanistan,0,0
2/8/20,Afghanistan,0,0
2/7/20,Afghanistan,0,0
2/6/20,Afghanistan,0,0
2/5/20,Afghanistan,0,0
2/4/20,Afghanistan,0,0
2/3/20,Afghanistan,0,0
2/2/20,Afghanistan,0,0
2/1/20,Afghanistan,0,0
1/31/20,Afghanistan,0,0
1/30/20,Afghanistan,0,0
1/29/20,Afghanistan,0,0
1/28/20,Afghanistan,0,0
1/27/20,Afghanistan,0,0
1/26/20,Afghanistan,0,0
1/25/20,Afghanistan,0,0
1/24/20,Afghanistan,0,0
1/23/20,Afghanistan,0,0
1/22/20,Afghanistan,0,0
1/21/20,Afghanistan,0,0
1/20/20,Afghanistan,0,0
1/19/20,Afghanistan,0,0
1/18/20,Afghanistan,0,0
1/17/20,Afghanistan,0,0
1/16/20,Afghanistan,0,0
1/15/20,Afghanistan,0,0
1/14/20,Afghanistan,0,0
1/13/20,Afghanistan,0,0
1/12/20,Afghanistan,0,0
1/11/20,Afghanistan,0,0
1/10/20,Afghanistan,0,0
1/9/20,Afghanistan,0,0
1/8/20,Afghanistan,0,0
1/7/20,Afghanistan,0,0
1/6/20,Afghanistan,0,0
1/5/20,Afghanistan,0,0
1/4/20,Afghanistan,0,0
1/3/20,Afghanistan,0,0
1/2/20,Afghanistan,0,0
1/1/20,Afghanistan,0,0
12/31/19,Afghanistan,0,0
3/12/20,Albania,1,1
3/11/20,Albania,4,0
3/10/20,Albania,4,0
3/9/20,Albania,2,0
3/12/20,Algeria,0,0
3/9/20,Algeria,3,0
3/6/20,Algeria,5,0
3/5/20,Algeria,7,0
3/4/20,Algeria,2,0
3/2/20,Algeria,2,0
3/1/20,Algeria,0,0
2/29/20,Algeria,0,0
2/28/20,Algeria,0,0
2/27/20,Algeria,0,0
2/26/20,Algeria,1,0
2/25/20,Algeria,0,0
2/24/20,Algeria,0,0
2/23/20,Algeria,0,0
2/22/20,Algeria,0,0
2/21/20,Algeria,0,0
2/20/20,Algeria,0,0
2/19/20,Algeria,0,0
2/18/20,Algeria,0,0
2/17/20,Algeria,0,0
2/16/20,Algeria,0,0
2/15/20,Algeria,0,0
2/14/20,Algeria,0,0
2/13/20,Algeria,0,0
2/12/20,Algeria,0,0
2/11/20,Algeria,0,0
2/10/20,Algeria,0,0
2/9/20,Algeria,0,0
2/8/20,Algeria,0,0
2/7/20,Algeria,0,0
2/6/20,Algeria,0,0
2/5/20,Algeria,0,0
2/4/20,Algeria,0,0
2/3/20,Algeria,0,0
2/2/20,Algeria,0,0
2/1/20,Algeria,0,0
1/31/20,Algeria,0,0
1/30/20,Algeria,0,0
1/29/20,Algeria,0,0
1/28/20,Algeria,0,0
1/27/20,Algeria,0,0
1/26/20,Algeria,0,0
1/25/20,Algeria,0,0
1/24/20,Algeria,0,0
1/23/20,Algeria,0,0
1/22/20,Algeria,0,0
1/21/20,Algeria,0,0
1/20/20,Algeria,0,0
1/19/20,Algeria,0,0
1/18/20,Algeria,0,0
1/17/20,Algeria,0,0
1/16/20,Algeria,0,0
1/15/20,Algeria,0,0
1/14/20,Algeria,0,0
1/13/20,Algeria,0,0
1/12/20,Algeria,0,0
1/11/20,Algeria,0,0
1/10/20,Algeria,0,0
1/9/20,Algeria,0,0
1/8/20,Algeria,0,0
1/7/20,Algeria,0,0
1/6/20,Algeria,0,0
1/5/20,Algeria,0,0
1/4/20,Algeria,0,0
1/3/20,Algeria,0,0
1/2/20,Algeria,0,0
1/1/20,Algeria,0,0
12/31/19,Algeria,0,0
3/3/20,Andorra,1,0
3/11/20,Argentina,7,0
3/9/20,Argentina,3,0
3/8/20,Argentina,1,1
3/7/20,Argentina,6,0
3/6/20,Argentina,1,0
3/4/20,Argentina,1,0
3/12/20,Armenia,3,0
3/2/20,Armenia,0,0
3/1/20,Armenia,1,0
2/29/20,Armenia,0,0
2/28/20,Armenia,0,0
2/27/20,Armenia,0,0
2/26/20,Armenia,0,0
2/25/20,Armenia,0,0
2/24/20,Armenia,0,0
2/23/20,Armenia,0,0
2/22/20,Armenia,0,0
2/21/20,Armenia,0,0
2/20/20,Armenia,0,0
2/19/20,Armenia,0,0
2/18/20,Armenia,0,0
2/17/20,Armenia,0,0
2/16/20,Armenia,0,0
2/15/20,Armenia,0,0
2/14/20,Armenia,0,0
2/13/20,Armenia,0,0
2/12/20,Armenia,0,0
2/11/20,Armenia,0,0
2/10/20,Armenia,0,0
2/9/20,Armenia,0,0
2/8/20,Armenia,0,0
2/7/20,Armenia,0,0
2/6/20,Armenia,0,0
2/5/20,Armenia,0,0
2/4/20,Armenia,0,0
2/3/20,Armenia,0,0
2/2/20,Armenia,0,0
2/1/20,Armenia,0,0
1/31/20,Armenia,0,0
1/30/20,Armenia,0,0
1/29/20,Armenia,0,0
1/28/20,Armenia,0,0
1/27/20,Armenia,0,0
1/26/20,Armenia,0,0
1/25/20,Armenia,0,0
1/24/20,Armenia,0,0
1/23/20,Armenia,0,0
1/22/20,Armenia,0,0
1/21/20,Armenia,0,0
1/20/20,Armenia,0,0
1/19/20,Armenia,0,0
1/18/20,Armenia,0,0
1/17/20,Armenia,0,0
1/16/20,Armenia,0,0
1/15/20,Armenia,0,0
